Name	Edition	Rarity	Cost	P/T	Type	Text	Flavor
Gift of Orzhova	GTC	U	1%O%O		Enchantment - Aura	"Enchant creature
Enchanted creature gets +1/+1 and has flying and lifelink."	
Glaring Spotlight	GTC	R	1		Artifact	"Creatures your opponents control with hexproof can be the targets of spells and abilities you control as though they didnﾒt have hexproof.
%3, Sacrifice Glaring Spotlight: Creatures you control gain hexproof until end of turn and are unblockable this turn."	
Godless Shrine	GTC	R			Land - Plains Swamp	"#(%T: Add %W or %B to your mana pool.)#
As Godless Shrine enters the battlefield, you may pay 2 life. If you donﾒt, Godless Shrine enters the battlefield tapped."	
Gridlock	GTC	U	XU		Instant	Tap X target nonland permanents.	
Grisly Spectacle	GTC	C	2BB		Instant	Destroy target nonartifact creature. Its controller puts a number of cards equal to that creatureﾒs power from the top of his or her library into his or her graveyard.	
Ground Assault	GTC	U	RG		Sorcery	Ground Assault deals damage to target creature equal to the number of lands you control.	
Gruul Charm	GTC	U	RG		Instant	Choose one ﾗ Creatures without flying canﾒt block this turn; or gain control of all permanents you own; or Gruul Charm deals 3 damage to each creature with flying.	
Gruul Guildgate	GTC	C			Land - Gate	"Gruul Guildgate enters the battlefield tapped.
%T: Add %R or %G to your mana pool."	
Gruul Keyrune	GTC	U	3		Artifact	"%T: Add %R or %G to your mana pool.
%R%G: Gruul Keyrune becomes a 3/2 red and green Beast artifact creature with trample until end of turn."	
Guildscorn Ward	GTC	C	W		Enchantment - Aura	"Enchant creature
Enchanted creature has protection from multicolored."	
Hands of Binding	GTC	C	1U		Sorcery	"Tap target creature an opponent controls. That creature doesnﾒt untap during its controllerﾒs next untap step.
Cipher #(Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)#"	
Hindervines	GTC	U	2G		Instant	Prevent all combat damage that would be dealt this turn by creatures with no +1/+1 counters on them.	
Hold the Gates	GTC	U	2W		Enchantment	Creatures you control get +0/+1 for each Gate you control and have vigilance.	
Holy Mantle	GTC	U	2WW		Enchantment - Aura	"Enchant creature
Enchanted creature gets +2/+2 and has protection from creatures."	
Homing Lightning	GTC	U	2RR		Instant	Homing Lightning deals 4 damage to target creature and each other creature with the same name as that creature.	
Hydroform	GTC	C	GU		Instant	Target land becomes a 3/3 Elemental creature with flying until end of turn. Itﾒs still a land.	
Illness in the Ranks	GTC	U	B		Enchantment	Creature tokens get -1/-1.	
Illusionist's Bracers	GTC	R	2		Artifact - Equipment	"Whenever an ability of equipped creature is activated, if it isnﾒt a mana ability, copy that ability. You may choose new targets for the copy.
Equip %3"	
Immortal Servitude	GTC	R	X%O%O%O		Sorcery	Return each creature card with converted mana cost X from your graveyard to the battlefield.	
Killing Glare	GTC	U	XB		Instant	Destroy target creature with power X or less.	
Knight Watch	GTC	C	4W		Sorcery	Put two 2/2 white Knight creature tokens with vigilance onto the battlefield.	
Last Thoughts	GTC	C	3U		Sorcery	"Draw a card.
Cipher #(Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)#"	
Madcap Skills	GTC	C	1R		Enchantment - Aura	"Enchant creature
Enchanted creature gets +3/+0 and canﾒt be blocked except by two or more creatures."	
Mark for Death	GTC	U	3R		Sorcery	Target creature an opponent controls blocks this turn if able. Untap that creature. Other creatures that player controls canﾒt block this turn.	
Martial Glory	GTC	C	RW		Instant	"Target creature gets +3/+0 until end of turn.
Target creature gets +0/+3 until end of turn."	
Massive Raid	GTC	C	1RR		Instant	Massive Raid deals damage to target creature or player equal to the number of creatures you control.	
Mental Vapors	GTC	U	3B		Sorcery	"Target player discards a card.
Cipher #(Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)#"	
Merciless Eviction	GTC	R	4WB		Sorcery	Choose one ﾗ Exile all artifacts; or exile all creatures; or exile all enchantments; or exile all planeswalkers.	
Midnight Recovery	GTC	C	3B		Sorcery	"Return target creature card from your graveyard to your hand.
Cipher #(Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)#"	
Miming Slime	GTC	U	2G		Sorcery	Put an X/X green Ooze creature token onto the battlefield, where X is the greatest power among creatures you control.	
Mind Grind	GTC	R	XUB		Sorcery	Each opponent reveals cards from the top of his or her library until he or she reveals X land cards, then puts all cards revealed this way into his or her graveyard. X canﾒt be 0.	
Mugging	GTC	C	R		Sorcery	Mugging deals 2 damage to target creature. That creature canﾒt block this turn.	
Murder Investigation	GTC	U	1W		Enchantment - Aura	"Enchant creature you control
When enchanted creature dies, put X 1/1 white Soldier creature tokens onto the battlefield, where X is its power."	
Mystic Genesis	GTC	R	2GUU		Instant	Counter target spell. Put an X/X green Ooze creature token onto the battlefield, where X is that spellﾒs converted mana cost.	
Naturalize	GTC	C	1G		Instant	Destroy target artifact or enchantment.	
One Thousand Lashes	GTC	U	2WB		Enchantment - Aura	"Enchant creature
Enchanted creature canﾒt attack or block, and its activated abilities canﾒt be activated.
At the beginning of the upkeep of enchanted creatureﾒs controller, that player loses 1 life."	
Ooze Flux	GTC	R	3G		Enchantment	%1%G, Remove one or more +1/+1 counters from among creatures you control: Put an X/X green Ooze creature token onto the battlefield, where X is the number of +1/+1 counters removed this way.	
Orzhov Charm	GTC	U	WB		Instant	Choose one ﾗ Return target creature you control and all Auras you control attached to it to their ownerﾒs hand; or destroy target creature and you lose life equal to its toughness; or return target creature card with converted mana cost 1 or less from your graveyard to the battlefield.	
Orzhov Guildgate	GTC	C			Land - Gate	"Orzhov Guildgate enters the battlefield tapped.
%T: Add %W or %B to your mana pool."	
Orzhov Keyrune	GTC	U	3		Artifact	"%T: Add %W or %B to your mana pool.
%W%B: Orzhov Keyrune becomes a 1/4 white and black Thrull artifact creature with lifelink until end of turn."	
Paranoid Delusions	GTC	C	UB		Sorcery	"Target player puts the top three cards of his or her library into his or her graveyard.
Cipher #(Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)#"	
Pit Fight	GTC	C	1%L		Instant	Target creature you control fights another target creature. #(Each deals damage equal to its power to the other.)#	
Predator's Rapport	GTC	C	2G		Instant	Choose target creature you control. You gain life equal to that creatureﾒs power plus its toughness.	
Primal Visitation	GTC	C	3RG		Enchantment - Aura	"Enchant creature
Enchanted creature gets +3/+3 and has haste."	
Prophetic Prism	GTC	C	2		Artifact	"When Prophetic Prism enters the battlefield, draw a card.
%1, %T: Add one mana of any color to your mana pool."	
Psychic Strike	GTC	C	1UB		Instant	Counter target spell. Its controller puts the top two cards of his or her library into his or her graveyard.	
Purge the Profane	GTC	C	2WB		Sorcery	Target opponent discards two cards and you gain 2 life.	
Rapid Hybridization	GTC	U	U		Instant	Destroy target creature. It canﾒt be regenerated. That creatureﾒs controller puts a 3/3 green Frog Lizard creature token onto the battlefield.	
Razortip Whip	GTC	C	2		Artifact	%1, %T: Razortip Whip deals 1 damage to target opponent.	
Righteous Charge	GTC	U	1WW		Sorcery	Creatures you control get +2/+2 until end of turn.	
Riot Gear	GTC	C	2		Artifact - Equipment	"Equipped creature gets +1/+2.
Equip %2 #(%2: Attach to target creature you control. Equip only as a sorcery.)#"	
Sacred Foundry	GTC	R			Land - Mountain Plains	"#(%T: Add %R or %W to your mana pool.)#
As Sacred Foundry enters the battlefield, you may pay 2 life. If you donﾒt, Sacred Foundry enters the battlefield tapped."	
Scatter Arc	GTC	C	3U		Instant	"Counter target noncreature spell.
Draw a card."	
Serene Remembrance	GTC	U	G		Sorcery	Shuffle Serene Remembrance and up to three target cards from a single graveyard into their ownersﾒ libraries.	
Shadow Slice	GTC	C	4B		Sorcery	"Target opponent loses 3 life.
Cipher #(Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)#"	
Shattering Blow	GTC	C	1%P		Instant	Exile target artifact.	
Shielded Passage	GTC	C	W		Instant	Prevent all damage that would be dealt to target creature this turn.	
Signal the Clans	GTC	R	RG		Instant	Search your library for three creature cards and reveal them. If you reveal three cards with different names, choose one of them at random and put that card into your hand. Shuffle the rest into your library.	
Simic Charm	GTC	U	GU		Instant	Choose one ﾗ Target creature gets +3/+3 until end of turn; or permanents you control gain hexproof until end of turn; or return target creature to its ownerﾒs hand.	
Simic Guildgate	GTC	C			Land - Gate	"Simic Guildgate enters the battlefield tapped.
%T: Add %G or %U to your mana pool."	
Simic Keyrune	GTC	U	3		Artifact	"%T: Add %G or %U to your mana pool.
%G%U: Simic Keyrune becomes a 2/3 green and blue Crab artifact creature with hexproof until end of turn. #(It canﾒt be the target of spells or abilities your opponents control.)#"	
Skullcrack	GTC	U	1R		Instant	Players canﾒt gain life this turn. Damage canﾒt be prevented this turn. Skullcrack deals 3 damage to target player.	
Skyblinder Staff	GTC	C	1		Artifact - Equipment	"Equipped creature gets +1/+0 and canﾒt be blocked by creatures with flying.
Equip %3 #(%3: Attach to target creature you control. Equip only as a sorcery.)#"	
Skygames	GTC	C	1U		Enchantment - Aura	"Enchant land
Enchanted land has ﾓ%T: Target creature gains flying until end of turn. Activate this ability only any time you could cast a sorcery.ﾔ"	
Smite	GTC	C	W		Instant	Destroy target blocked creature.	
Soul Ransom	GTC	R	2UB		Enchantment - Aura	"Enchant creature
You control enchanted creature.
Discard two cards: Soul Ransomﾒs controller sacrifices it, then draws two cards. Only any opponent may activate this ability."	
Spell Rupture	GTC	C	1U		Instant	Counter target spell unless its controller pays %X, where X is the greatest power among creatures you control.	
Stolen Identity	GTC	R	4UU		Sorcery	"Put a token onto the battlefield thatﾒs a copy of target artifact or creature.
Cipher #(Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)#"	
Stomping Ground	GTC	R			Land - Mountain Forest	"#(%T: Add %R or %G to your mana pool.)#
As Stomping Ground enters the battlefield, you may pay 2 life. If you donﾒt, Stomping Ground enters the battlefield tapped."	
Structural Collapse	GTC	C	5R		Sorcery	Target player sacrifices an artifact and a land. Structural Collapse deals 2 damage to that player.	
Thespian's Stage	GTC	R			Land	"%T: Add %1 to your mana pool.
%2, %T: Thespianﾒs Stage becomes a copy of target land and gains this ability."	
Tin Street Market	GTC	C	4R		Enchantment - Aura	"Enchant land
Enchanted land has ﾓ%T, Discard a card: Draw a card.ﾔ"	
Totally Lost	GTC	C	4U		Instant	Put target nonland permanent on top of its ownerﾒs library.	
Tower Defense	GTC	U	1G		Instant	Creatures you control get +0/+5 and gain reach until end of turn.	
Undercity Plague	GTC	R	4BB		Sorcery	"Target player loses 1 life, discards a card, then sacrifices a permanent.
Cipher #(Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)#"	
Unexpected Results	GTC	R	2GU		Sorcery	Shuffle your library, then reveal the top card. If itﾒs a nonland card, you may cast it without paying its mana cost. If itﾒs a land card, you may put it onto the battlefield and return Unexpected Results to its ownerﾒs hand.	
Urban Evolution	GTC	U	3GU		Sorcery	Draw three cards. You may play an additional land this turn.	
Verdant Haven	GTC	C	2G		Enchantment - Aura	"Enchant land
When Verdant Haven enters the battlefield, you gain 2 life.
Whenever enchanted land is tapped for mana, its controller adds one mana of any color to his or her mana pool #(in addition to the mana the land produces)#."	
Voidwalk	GTC	U	3U		Sorcery	"Exile target creature. Return it to the battlefield under its ownerﾒs control at the beginning of the next end step.
Cipher #(Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)#"	
Watery Grave	GTC	R			Land - Island Swamp	"#(%T: Add %U or %B to your mana pool.)#
As Watery Grave enters the battlefield, you may pay 2 life. If you donﾒt, Watery Grave enters the battlefield tapped."	
Way of the Thief	GTC	C	3U		Enchantment - Aura	"Enchant creature
Enchanted creature gets +2/+2.
Enchanted creature is unblockable as long as you control a Gate."	
Whispering Madness	GTC	R	2UB		Sorcery	"Each player discards his or her hand, then draws cards equal to the greatest number of cards a player discarded this way.
Cipher #(Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)#"	
Wildwood Rebirth	GTC	C	1G		Instant	Return target creature card from your graveyard to your hand.	
Alpha Authority	GTC	U	1G		Enchantment - Aura	"Enchant creature
Enchanted creature has hexproof and canﾒt be blocked by more than one creature."	
Angelic Edict	GTC	C	4W		Sorcery	Exile target creature or enchantment.	
Arrows of Justice	GTC	U	2%P		Instant	Arrows of Justice deals 4 damage to target attacking or blocking creature.	
Assemble the Legion	GTC	R	3RW		Enchantment	At the beginning of your upkeep, put a muster counter on Assemble the Legion. Then put a 1/1 red and white Soldier creature token with haste onto the battlefield for each muster counter on Assemble the Legion.	
Aurelia's Fury	GTC	M	XRW		Instant	Aureliaﾒs Fury deals X damage divided as you choose among any number of target creatures and/or players. Tap each creature dealt damage this way. Players dealt damage this way canﾒt cast noncreature spells this turn.	
Beckon Apparition	GTC	C	%O		Instant	Exile target card from a graveyard. Put a 1/1 white and black Spirit creature token with flying onto the battlefield.	
Biomass Mutation	GTC	R	X%S%S		Instant	Creatures you control become X/X until end of turn.	
Bioshift	GTC	C	%S		Instant	Move any number of +1/+1 counters from target creature onto another target creature with the same controller.	
Blind Obedience	GTC	R	1W		Enchantment	"Extort #(Whenever you cast a spell, you may pay %O. If you do, each opponent loses 1 life and you gain that much life.)#
Artifacts and creatures your opponents control enter the battlefield tapped."	
Boros Charm	GTC	U	RW		Instant	Choose one ﾗ Boros Charm deals 4 damage to target player; or permanents you control are indestructible this turn; or target creature gains double strike until end of turn.	
Boros Guildgate	GTC	C			Land - Gate	"Boros Guildgate enters the battlefield tapped.
%T: Add %R or %W to your mana pool."	
Boros Keyrune	GTC	U	3		Artifact	"%T: Add %R or %W to your mana pool.
%R%W: Boros Keyrune becomes a 1/1 red and white Soldier artifact creature with double strike until end of turn. #(It deals both first-strike and regular combat damage.)#"	
