"Name";"Edition";"Rarity";"Color";"Cost";"P/T";"Type";"Text";"Flavor"
"Gift of Orzhova";"GTC";"U";"Gld";"1%O%O";"";"Enchantment - Aura";"Enchant creature
Enchanted creature gets +1/+1 and has flying and lifelink.";""
"Glaring Spotlight";"GTC";"R";"Art";"1";"";"Artifact";"Creatures your opponents control with hexproof can be the targets of spells and abilities you control as though they didn’t have hexproof.
%3, Sacrifice Glaring Spotlight: Creatures you control gain hexproof until end of turn and are unblockable this turn.";""
"Godless Shrine";"GTC";"R";"Lnd";"";"";"Land - Plains Swamp";"#(%T: Add %W or %B to your mana pool.)#
As Godless Shrine enters the battlefield, you may pay 2 life. If you don’t, Godless Shrine enters the battlefield tapped.";""
"Gridlock";"GTC";"U";"U";"XU";"";"Instant";"Tap X target nonland permanents.";""
"Grisly Spectacle";"GTC";"C";"B";"2BB";"";"Instant";"Destroy target nonartifact creature. Its controller puts a number of cards equal to that creature’s power from the top of his or her library into his or her graveyard.";""
"Ground Assault";"GTC";"U";"Gld";"RG";"";"Sorcery";"Ground Assault deals damage to target creature equal to the number of lands you control.";""
"Gruul Charm";"GTC";"U";"Gld";"RG";"";"Instant";"Choose one — Creatures without flying can’t block this turn; or gain control of all permanents you own; or Gruul Charm deals 3 damage to each creature with flying.";""
"Gruul Guildgate";"GTC";"C";"Lnd";"";"";"Land - Gate";"Gruul Guildgate enters the battlefield tapped.
%T: Add %R or %G to your mana pool.";""
"Gruul Keyrune";"GTC";"U";"Art";"3";"";"Artifact";"%T: Add %R or %G to your mana pool.
%R%G: Gruul Keyrune becomes a 3/2 red and green Beast artifact creature with trample until end of turn.";""
"Guildscorn Ward";"GTC";"C";"W";"W";"";"Enchantment - Aura";"Enchant creature
Enchanted creature has protection from multicolored.";""
"Hands of Binding";"GTC";"C";"U";"1U";"";"Sorcery";"Tap target creature an opponent controls. That creature doesn’t untap during its controller’s next untap step.
Cipher #(Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)#";""
"Hindervines";"GTC";"U";"G";"2G";"";"Instant";"Prevent all combat damage that would be dealt this turn by creatures with no +1/+1 counters on them.";""
"Hold the Gates";"GTC";"U";"W";"2W";"";"Enchantment";"Creatures you control get +0/+1 for each Gate you control and have vigilance.";""
"Holy Mantle";"GTC";"U";"W";"2WW";"";"Enchantment - Aura";"Enchant creature
Enchanted creature gets +2/+2 and has protection from creatures.";""
"Homing Lightning";"GTC";"U";"R";"2RR";"";"Instant";"Homing Lightning deals 4 damage to target creature and each other creature with the same name as that creature.";""
"Hydroform";"GTC";"C";"Gld";"GU";"";"Instant";"Target land becomes a 3/3 Elemental creature with flying until end of turn. It’s still a land.";""
"Illness in the Ranks";"GTC";"U";"B";"B";"";"Enchantment";"Creature tokens get -1/-1.";""
"Illusionist's Bracers";"GTC";"R";"Art";"2";"";"Artifact - Equipment";"Whenever an ability of equipped creature is activated, if it isn’t a mana ability, copy that ability. You may choose new targets for the copy.
Equip %3";""
"Immortal Servitude";"GTC";"R";"Gld";"X%O%O%O";"";"Sorcery";"Return each creature card with converted mana cost X from your graveyard to the battlefield.";""
"Killing Glare";"GTC";"U";"B";"XB";"";"Instant";"Destroy target creature with power X or less.";""
"Knight Watch";"GTC";"C";"W";"4W";"";"Sorcery";"Put two 2/2 white Knight creature tokens with vigilance onto the battlefield.";""
"Last Thoughts";"GTC";"C";"U";"3U";"";"Sorcery";"Draw a card.
Cipher #(Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)#";""
"Madcap Skills";"GTC";"C";"R";"1R";"";"Enchantment - Aura";"Enchant creature
Enchanted creature gets +3/+0 and can’t be blocked except by two or more creatures.";""
"Mark for Death";"GTC";"U";"R";"3R";"";"Sorcery";"Target creature an opponent controls blocks this turn if able. Untap that creature. Other creatures that player controls can’t block this turn.";""
"Martial Glory";"GTC";"C";"Gld";"RW";"";"Instant";"Target creature gets +3/+0 until end of turn.
Target creature gets +0/+3 until end of turn.";""
"Massive Raid";"GTC";"C";"R";"1RR";"";"Instant";"Massive Raid deals damage to target creature or player equal to the number of creatures you control.";""
"Mental Vapors";"GTC";"U";"B";"3B";"";"Sorcery";"Target player discards a card.
Cipher #(Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)#";""
"Merciless Eviction";"GTC";"R";"Gld";"4WB";"";"Sorcery";"Choose one — Exile all artifacts; or exile all creatures; or exile all enchantments; or exile all planeswalkers.";""
"Midnight Recovery";"GTC";"C";"B";"3B";"";"Sorcery";"Return target creature card from your graveyard to your hand.
Cipher #(Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)#";""
"Miming Slime";"GTC";"U";"G";"2G";"";"Sorcery";"Put an X/X green Ooze creature token onto the battlefield, where X is the greatest power among creatures you control.";""
